Designator,Footprint,Quantity,Value,LCSC Part #
C101,0805,1,10uF,
"C102, C103, C104",0603,3,1uF,
C105,0603,1,100nF,
CN2,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,1,SM04B-SRSS-TB (LF)(SN),C160404
"Q3, Q4",SOT-23,2,BSS138,
"R101, R11, R201",0603,3,10k,
U103,SOT-23-5,1,TLV75733PDBV,
