C24:1
C26:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C40:1
C41:1
C42:1
CN11:1
CN7:1
R1:1
R13:1
R14:1
R21:1
R22:1
R23:1
R24:1
R25:1
R6:1
U1:1
U15:1
