Designator,Mid X,Mid Y,Rotation,Layer
C1,24.5,-37.5,270.0,top
C2,23.0,-37.5,270.0,top
C3,75.5,-38.99,90.0,top
C4,77.0,-39.0,90.0,top
CN1,59.75,-28.35,0.0,top
CN2,59.75,-48.7875,0.0,top
CN3,36.65,-48.8,0.0,top
CN4,36.75,-28.2875,0.0,top
U1,81.5,-38.5,90.0,top
U2,19.0,-38.5,270.0,top
